kab_kota,latitude,longitude
Singkawang,0.906413465562377,108.987160166357
Pontianak,-0.0261712539567168,109.342499995326
Sintang,0.0633778624320481,111.486196621982
Sekadau,0.0156881501276865,110.888597729351
Sanggau,0.11942175530892,110.597290426774
Landak,0.424961858023513,109.758368883414
Melawi,-0.700005400110854,111.666089869557
Kapuas Hulu,0.833732700318241,113.001241712559
Mempawah,0.364310728251106,108.954899995326
Kubu Raya,-0.353418411788483,109.47354661099
Kayong Utara,-0.922487544735272,110.044844865026
Sambas,1.36272145022742,109.30086780882
Ketapang,-1.56708625556247,110.519684708486
Bengkayang,0.821042910108506,109.477699995327
